n_words,stem_words,threshold,TOP_N,queries,match,TP,FP,FN,TN,TP_asin,FN_asin,FP_asin,TN_asin,accuracy,Precision,Recall,accuracy_asin,Precision_asin,Recall_asin,F1,F1_asin
3.0,4.0,0.0,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.01,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.02,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.03,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.04,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.05,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.06,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.07,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.08,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.09,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.1,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.11,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.12,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.13,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.14,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.15,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.16,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.17,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.18,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.19,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.2,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.21,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.22,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.23,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.24,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.25,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.26,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.27,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.28,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.29,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.3,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.31,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.32,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.33,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.34,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.35,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.36,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.37,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.38,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.39,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.4,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.41,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.42,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.43,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.44,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.45,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.46,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.47,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.48,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.49,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.5,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.51,5.0,1000,617.0,131.0,486.0,369.0,14.0,0.0,369.0,486.0,14.0,0.14,0.21,0.26,0.01,0.0,0.0,0.23,
3.0,4.0,0.52,5.0,1000,615.0,131.0,484.0,369.0,16.0,0.0,369.0,484.0,16.0,0.15,0.21,0.26,0.02,0.0,0.0,0.23,
3.0,4.0,0.53,5.0,1000,608.0,131.0,477.0,369.0,23.0,0.0,369.0,477.0,23.0,0.15,0.22,0.26,0.02,0.0,0.0,0.24,
3.0,4.0,0.54,5.0,1000,603.0,131.0,472.0,369.0,28.0,0.0,369.0,472.0,28.0,0.16,0.22,0.26,0.03,0.0,0.0,0.24,
3.0,4.0,0.55,5.0,1000,599.0,131.0,468.0,369.0,32.0,0.0,369.0,468.0,32.0,0.16,0.22,0.26,0.03,0.0,0.0,0.24,
3.0,4.0,0.56,5.0,1000,594.0,130.0,464.0,370.0,36.0,0.0,370.0,464.0,36.0,0.17,0.22,0.26,0.04,0.0,0.0,0.24,
3.0,4.0,0.57,5.0,1000,591.0,130.0,461.0,370.0,39.0,0.0,370.0,461.0,39.0,0.17,0.22,0.26,0.04,0.0,0.0,0.24,
3.0,4.0,0.58,5.0,1000,585.0,128.0,457.0,372.0,43.0,0.0,372.0,457.0,43.0,0.17,0.22,0.26,0.04,0.0,0.0,0.24,
3.0,4.0,0.59,5.0,1000,582.0,128.0,454.0,372.0,46.0,0.0,372.0,454.0,46.0,0.17,0.22,0.26,0.05,0.0,0.0,0.24,
3.0,4.0,0.6,5.0,1000,574.0,126.0,448.0,374.0,52.0,0.0,374.0,448.0,52.0,0.18,0.22,0.25,0.05,0.0,0.0,0.23,
3.0,4.0,0.61,5.0,1000,567.0,126.0,441.0,374.0,59.0,0.0,374.0,441.0,59.0,0.18,0.22,0.25,0.06,0.0,0.0,0.23,
3.0,4.0,0.62,5.0,1000,554.0,125.0,429.0,375.0,71.0,0.0,375.0,429.0,71.0,0.2,0.23,0.25,0.07,0.0,0.0,0.24,
3.0,4.0,0.63,5.0,1000,536.0,124.0,412.0,376.0,88.0,0.0,376.0,412.0,88.0,0.21,0.23,0.25,0.09,0.0,0.0,0.24,
3.0,4.0,0.64,5.0,1000,515.0,122.0,393.0,378.0,107.0,0.0,378.0,393.0,107.0,0.23,0.24,0.24,0.11,0.0,0.0,0.24,
3.0,4.0,0.65,5.0,1000,501.0,122.0,379.0,378.0,121.0,0.0,378.0,379.0,121.0,0.24,0.24,0.24,0.12,0.0,0.0,0.24,
3.0,4.0,0.66,5.0,1000,482.0,121.0,361.0,379.0,139.0,0.0,379.0,361.0,139.0,0.26,0.25,0.24,0.14,0.0,0.0,0.24,
3.0,4.0,0.67,5.0,1000,465.0,119.0,346.0,381.0,154.0,0.0,381.0,346.0,154.0,0.27,0.26,0.24,0.15,0.0,0.0,0.25,
3.0,4.0,0.68,5.0,1000,461.0,119.0,342.0,381.0,158.0,0.0,381.0,342.0,158.0,0.28,0.26,0.24,0.16,0.0,0.0,0.25,
3.0,4.0,0.69,5.0,1000,450.0,119.0,331.0,381.0,169.0,0.0,381.0,331.0,169.0,0.29,0.26,0.24,0.17,0.0,0.0,0.25,
3.0,4.0,0.7,5.0,1000,435.0,119.0,316.0,381.0,184.0,0.0,381.0,316.0,184.0,0.3,0.27,0.24,0.18,0.0,0.0,0.25,
3.0,4.0,0.71,5.0,1000,425.0,118.0,307.0,382.0,193.0,0.0,382.0,307.0,193.0,0.31,0.28,0.24,0.19,0.0,0.0,0.26,
3.0,4.0,0.72,5.0,1000,403.0,116.0,287.0,384.0,213.0,0.0,384.0,287.0,213.0,0.33,0.29,0.23,0.21,0.0,0.0,0.26,
3.0,4.0,0.73,5.0,1000,380.0,113.0,267.0,387.0,233.0,0.0,387.0,267.0,233.0,0.35,0.3,0.23,0.23,0.0,0.0,0.26,
3.0,4.0,0.74,5.0,1000,369.0,113.0,256.0,387.0,244.0,0.0,387.0,256.0,244.0,0.36,0.31,0.23,0.24,0.0,0.0,0.26,
3.0,4.0,0.75,5.0,1000,354.0,112.0,242.0,388.0,258.0,0.0,388.0,242.0,258.0,0.37,0.32,0.22,0.26,0.0,0.0,0.26,
3.0,4.0,0.76,5.0,1000,332.0,108.0,224.0,392.0,276.0,0.0,392.0,224.0,276.0,0.38,0.33,0.22,0.28,0.0,0.0,0.26,
3.0,4.0,0.77,5.0,1000,312.0,106.0,206.0,394.0,294.0,0.0,394.0,206.0,294.0,0.4,0.34,0.21,0.29,0.0,0.0,0.26,
3.0,4.0,0.78,5.0,1000,294.0,101.0,193.0,399.0,307.0,0.0,399.0,193.0,307.0,0.41,0.34,0.2,0.31,0.0,0.0,0.25,
3.0,4.0,0.79,5.0,1000,267.0,97.0,170.0,403.0,330.0,0.0,403.0,170.0,330.0,0.43,0.36,0.19,0.33,0.0,0.0,0.25,
3.0,4.0,0.8,5.0,1000,246.0,94.0,152.0,406.0,348.0,0.0,406.0,152.0,348.0,0.44,0.38,0.19,0.35,0.0,0.0,0.25,
3.0,4.0,0.81,5.0,1000,221.0,87.0,134.0,413.0,366.0,0.0,413.0,134.0,366.0,0.45,0.39,0.17,0.37,0.0,0.0,0.24,
3.0,4.0,0.82,5.0,1000,204.0,82.0,122.0,418.0,378.0,0.0,418.0,122.0,378.0,0.46,0.4,0.16,0.38,0.0,0.0,0.23,
3.0,4.0,0.83,5.0,1000,196.0,80.0,116.0,420.0,384.0,0.0,420.0,116.0,384.0,0.46,0.41,0.16,0.38,0.0,0.0,0.23,
3.0,4.0,0.84,5.0,1000,179.0,76.0,103.0,424.0,397.0,0.0,424.0,103.0,397.0,0.47,0.42,0.15,0.4,0.0,0.0,0.22,
3.0,4.0,0.85,5.0,1000,163.0,69.0,94.0,431.0,406.0,0.0,431.0,94.0,406.0,0.48,0.42,0.14,0.41,0.0,0.0,0.21,
