n_words,stem_words,threshold,TOP_N,queries,match,TP,FP,FN,TN,TP_asin,FN_asin,FP_asin,TN_asin,accuracy,Precision,Recall,accuracy_asin,Precision_asin,Recall_asin,F1,F1_asin
3.0,2.53,0.0,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.01,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.02,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.03,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.04,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.05,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.06,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.07,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.08,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.09,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.1,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.11,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.12,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.13,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.14,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.15,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.16,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.17,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.18,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.19,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.2,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.21,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.22,5.0,1000,847.0,358.0,489.0,142.0,11.0,241.0,142.0,489.0,11.0,0.37,0.42,0.72,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.23,5.0,1000,846.0,357.0,489.0,143.0,11.0,241.0,143.0,489.0,11.0,0.37,0.42,0.71,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.24,5.0,1000,846.0,357.0,489.0,143.0,11.0,241.0,143.0,489.0,11.0,0.37,0.42,0.71,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.25,5.0,1000,846.0,357.0,489.0,143.0,11.0,241.0,143.0,489.0,11.0,0.37,0.42,0.71,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.26,5.0,1000,845.0,356.0,489.0,144.0,11.0,241.0,144.0,489.0,11.0,0.37,0.42,0.71,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.27,5.0,1000,845.0,356.0,489.0,144.0,11.0,241.0,144.0,489.0,11.0,0.37,0.42,0.71,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.28,5.0,1000,845.0,356.0,489.0,144.0,11.0,241.0,144.0,489.0,11.0,0.37,0.42,0.71,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.29,5.0,1000,844.0,356.0,488.0,144.0,12.0,241.0,144.0,488.0,12.0,0.37,0.42,0.71,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.3,5.0,1000,844.0,356.0,488.0,144.0,12.0,241.0,144.0,488.0,12.0,0.37,0.42,0.71,0.25,0.33,0.63,0.53,0.43
3.0,2.53,0.31,5.0,1000,842.0,355.0,487.0,145.0,13.0,241.0,145.0,487.0,13.0,0.37,0.42,0.71,0.25,0.33,0.62,0.53,0.43
3.0,2.53,0.32,5.0,1000,838.0,354.0,484.0,146.0,16.0,241.0,146.0,484.0,16.0,0.37,0.42,0.71,0.26,0.33,0.62,0.53,0.43
3.0,2.53,0.33,5.0,1000,837.0,353.0,484.0,147.0,16.0,240.0,147.0,484.0,16.0,0.37,0.42,0.71,0.26,0.33,0.62,0.53,0.43
3.0,2.53,0.34,5.0,1000,831.0,351.0,480.0,149.0,20.0,239.0,149.0,480.0,20.0,0.37,0.42,0.7,0.26,0.33,0.62,0.52,0.43
3.0,2.53,0.35,5.0,1000,826.0,350.0,476.0,150.0,24.0,239.0,150.0,476.0,24.0,0.37,0.42,0.7,0.26,0.33,0.61,0.52,0.43
3.0,2.53,0.36,5.0,1000,822.0,350.0,472.0,150.0,28.0,239.0,150.0,472.0,28.0,0.38,0.43,0.7,0.27,0.34,0.61,0.53,0.44
3.0,2.53,0.37,5.0,1000,819.0,350.0,469.0,150.0,31.0,239.0,150.0,469.0,31.0,0.38,0.43,0.7,0.27,0.34,0.61,0.53,0.44
3.0,2.53,0.38,5.0,1000,810.0,349.0,461.0,151.0,39.0,239.0,151.0,461.0,39.0,0.39,0.43,0.7,0.28,0.34,0.61,0.53,0.44
3.0,2.53,0.39,5.0,1000,795.0,347.0,448.0,153.0,52.0,239.0,153.0,448.0,52.0,0.4,0.44,0.69,0.29,0.35,0.61,0.54,0.44
3.0,2.53,0.4,5.0,1000,780.0,344.0,436.0,156.0,64.0,237.0,156.0,436.0,64.0,0.41,0.44,0.69,0.3,0.35,0.6,0.54,0.44
3.0,2.53,0.41,5.0,1000,767.0,343.0,424.0,157.0,76.0,237.0,157.0,424.0,76.0,0.42,0.45,0.69,0.31,0.36,0.6,0.54,0.45
3.0,2.53,0.42,5.0,1000,752.0,340.0,412.0,160.0,88.0,234.0,160.0,412.0,88.0,0.43,0.45,0.68,0.32,0.36,0.59,0.54,0.45
3.0,2.53,0.43,5.0,1000,738.0,340.0,398.0,160.0,102.0,234.0,160.0,398.0,102.0,0.44,0.46,0.68,0.34,0.37,0.59,0.55,0.45
3.0,2.53,0.44,5.0,1000,711.0,336.0,375.0,164.0,125.0,233.0,164.0,375.0,125.0,0.46,0.47,0.67,0.36,0.38,0.59,0.55,0.46
3.0,2.53,0.45,5.0,1000,685.0,333.0,352.0,167.0,148.0,232.0,167.0,352.0,148.0,0.48,0.49,0.67,0.38,0.4,0.58,0.57,0.47
3.0,2.53,0.46,5.0,1000,662.0,328.0,334.0,172.0,166.0,231.0,172.0,334.0,166.0,0.49,0.5,0.66,0.4,0.41,0.57,0.57,0.48
3.0,2.53,0.47,5.0,1000,643.0,326.0,317.0,174.0,183.0,230.0,174.0,317.0,183.0,0.51,0.51,0.65,0.41,0.42,0.57,0.57,0.48
3.0,2.53,0.48,5.0,1000,621.0,323.0,298.0,177.0,202.0,228.0,177.0,298.0,202.0,0.52,0.52,0.65,0.43,0.43,0.56,0.58,0.49
3.0,2.53,0.49,5.0,1000,592.0,318.0,274.0,182.0,226.0,224.0,182.0,274.0,226.0,0.54,0.54,0.64,0.45,0.45,0.55,0.59,0.5
3.0,2.53,0.5,5.0,1000,566.0,315.0,251.0,185.0,249.0,222.0,185.0,251.0,249.0,0.56,0.56,0.63,0.47,0.47,0.55,0.59,0.51
3.0,2.53,0.51,5.0,1000,547.0,311.0,236.0,189.0,264.0,219.0,189.0,236.0,264.0,0.57,0.57,0.62,0.48,0.48,0.54,0.59,0.51
3.0,2.53,0.52,5.0,1000,524.0,304.0,220.0,196.0,280.0,213.0,196.0,220.0,280.0,0.58,0.58,0.61,0.49,0.49,0.52,0.59,0.5
3.0,2.53,0.53,5.0,1000,491.0,291.0,200.0,209.0,300.0,206.0,209.0,200.0,300.0,0.59,0.59,0.58,0.51,0.51,0.5,0.58,0.5
3.0,2.53,0.54,5.0,1000,458.0,281.0,177.0,219.0,323.0,200.0,219.0,177.0,323.0,0.6,0.61,0.56,0.52,0.53,0.48,0.58,0.5
3.0,2.53,0.55,5.0,1000,430.0,266.0,164.0,234.0,336.0,188.0,234.0,164.0,336.0,0.6,0.62,0.53,0.52,0.53,0.45,0.57,0.49
3.0,2.53,0.56,5.0,1000,416.0,257.0,159.0,243.0,341.0,181.0,243.0,159.0,341.0,0.6,0.62,0.51,0.52,0.53,0.43,0.56,0.47
3.0,2.53,0.57,5.0,1000,385.0,237.0,148.0,263.0,352.0,168.0,263.0,148.0,352.0,0.59,0.62,0.47,0.52,0.53,0.39,0.53,0.45
3.0,2.53,0.58,5.0,1000,360.0,228.0,132.0,272.0,368.0,160.0,272.0,132.0,368.0,0.6,0.63,0.46,0.53,0.55,0.37,0.53,0.44
3.0,2.53,0.59,5.0,1000,334.0,221.0,113.0,279.0,387.0,154.0,279.0,113.0,387.0,0.61,0.66,0.44,0.54,0.58,0.36,0.53,0.44
3.0,2.53,0.6,5.0,1000,318.0,210.0,108.0,290.0,392.0,146.0,290.0,108.0,392.0,0.6,0.66,0.42,0.54,0.57,0.33,0.51,0.42
3.0,2.53,0.61,5.0,1000,298.0,201.0,97.0,299.0,403.0,141.0,299.0,97.0,403.0,0.6,0.67,0.4,0.54,0.59,0.32,0.5,0.41
