n_words,stem_words,threshold,TOP_N,queries,match,TP,FP,FN,TN,TP_asin,FN_asin,FP_asin,TN_asin,accuracy,Precision,Recall,accuracy_asin,Precision_asin,Recall_asin,F1,F1_asin
3.0,2.53,0.0,5.0,1000,362.0,86.0,276.0,414.0,224.0,49.0,414.0,276.0,224.0,0.31,0.24,0.17,0.27,0.15,0.11,0.2,0.13
3.0,2.53,0.01,5.0,1000,362.0,86.0,276.0,414.0,224.0,49.0,414.0,276.0,224.0,0.31,0.24,0.17,0.27,0.15,0.11,0.2,0.13
3.0,2.53,0.02,5.0,1000,362.0,86.0,276.0,414.0,224.0,49.0,414.0,276.0,224.0,0.31,0.24,0.17,0.27,0.15,0.11,0.2,0.13
3.0,2.53,0.03,5.0,1000,362.0,86.0,276.0,414.0,224.0,49.0,414.0,276.0,224.0,0.31,0.24,0.17,0.27,0.15,0.11,0.2,0.13
3.0,2.53,0.04,5.0,1000,362.0,86.0,276.0,414.0,224.0,49.0,414.0,276.0,224.0,0.31,0.24,0.17,0.27,0.15,0.11,0.2,0.13
3.0,2.53,0.05,5.0,1000,362.0,86.0,276.0,414.0,224.0,49.0,414.0,276.0,224.0,0.31,0.24,0.17,0.27,0.15,0.11,0.2,0.13
3.0,2.53,0.06,5.0,1000,362.0,86.0,276.0,414.0,224.0,49.0,414.0,276.0,224.0,0.31,0.24,0.17,0.27,0.15,0.11,0.2,0.13
3.0,2.53,0.07,5.0,1000,362.0,86.0,276.0,414.0,224.0,49.0,414.0,276.0,224.0,0.31,0.24,0.17,0.27,0.15,0.11,0.2,0.13
3.0,2.53,0.08,5.0,1000,362.0,86.0,276.0,414.0,224.0,49.0,414.0,276.0,224.0,0.31,0.24,0.17,0.27,0.15,0.11,0.2,0.13
3.0,2.53,0.09,5.0,1000,362.0,86.0,276.0,414.0,224.0,49.0,414.0,276.0,224.0,0.31,0.24,0.17,0.27,0.15,0.11,0.2,0.13
3.0,2.53,0.1,5.0,1000,362.0,86.0,276.0,414.0,224.0,49.0,414.0,276.0,224.0,0.31,0.24,0.17,0.27,0.15,0.11,0.2,0.13
3.0,2.53,0.11,5.0,1000,362.0,86.0,276.0,414.0,224.0,49.0,414.0,276.0,224.0,0.31,0.24,0.17,0.27,0.15,0.11,0.2,0.13
3.0,2.53,0.12,5.0,1000,362.0,86.0,276.0,414.0,224.0,49.0,414.0,276.0,224.0,0.31,0.24,0.17,0.27,0.15,0.11,0.2,0.13
3.0,2.53,0.13,5.0,1000,362.0,86.0,276.0,414.0,224.0,49.0,414.0,276.0,224.0,0.31,0.24,0.17,0.27,0.15,0.11,0.2,0.13
3.0,2.53,0.14,5.0,1000,361.0,86.0,275.0,414.0,225.0,49.0,414.0,275.0,225.0,0.31,0.24,0.17,0.27,0.15,0.11,0.2,0.13
3.0,2.53,0.15,5.0,1000,361.0,86.0,275.0,414.0,225.0,49.0,414.0,275.0,225.0,0.31,0.24,0.17,0.27,0.15,0.11,0.2,0.13
3.0,2.53,0.16,5.0,1000,359.0,86.0,273.0,414.0,227.0,49.0,414.0,273.0,227.0,0.31,0.24,0.17,0.28,0.15,0.11,0.2,0.13
3.0,2.53,0.17,5.0,1000,358.0,86.0,272.0,414.0,228.0,49.0,414.0,272.0,228.0,0.31,0.24,0.17,0.28,0.15,0.11,0.2,0.13
3.0,2.53,0.18,5.0,1000,355.0,86.0,269.0,414.0,231.0,49.0,414.0,269.0,231.0,0.32,0.24,0.17,0.28,0.15,0.11,0.2,0.13
3.0,2.53,0.19,5.0,1000,352.0,84.0,268.0,416.0,232.0,48.0,416.0,268.0,232.0,0.32,0.24,0.17,0.28,0.15,0.1,0.2,0.12
3.0,2.53,0.2,5.0,1000,345.0,84.0,261.0,416.0,239.0,48.0,416.0,261.0,239.0,0.32,0.24,0.17,0.29,0.16,0.1,0.2,0.12
3.0,2.53,0.21,5.0,1000,334.0,83.0,251.0,417.0,249.0,48.0,417.0,251.0,249.0,0.33,0.25,0.17,0.3,0.16,0.1,0.2,0.12
3.0,2.53,0.22,5.0,1000,327.0,83.0,244.0,417.0,256.0,48.0,417.0,244.0,256.0,0.34,0.25,0.17,0.3,0.16,0.1,0.2,0.12
3.0,2.53,0.23,5.0,1000,312.0,81.0,231.0,419.0,269.0,47.0,419.0,231.0,269.0,0.35,0.26,0.16,0.32,0.17,0.1,0.2,0.13
3.0,2.53,0.24,5.0,1000,300.0,80.0,220.0,420.0,280.0,46.0,420.0,220.0,280.0,0.36,0.27,0.16,0.33,0.17,0.1,0.2,0.13
3.0,2.53,0.25,5.0,1000,289.0,78.0,211.0,422.0,289.0,46.0,422.0,211.0,289.0,0.37,0.27,0.16,0.34,0.18,0.1,0.2,0.13
